period,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1961_1970,1,1,65,0,0,26,34,63,0,0,0,67,2,0,52,0
1961_1970,2,2,34,0,0,28,38,53,0,0,0,95,2,0,30,0
1961_1970,3,35,37,0,0,32,45,46,0,8,0,63,11,0,33,0
1961_1970,4,76,11,1,0,4,14,8,53,54,0,11,49,4,14,1
1961_1970,5,6,0,30,0,0,0,0,89,32,0,0,9,91,0,53
1961_1970,6,0,0,77,60,0,0,0,2,0,26,0,0,29,0,106
1961_1970,7,0,0,1,198,0,0,0,0,0,111,0,0,0,0,0
1961_1970,8,0,0,11,179,0,0,0,0,0,119,0,0,0,0,1
1961_1970,9,0,0,132,53,0,0,0,1,0,23,0,0,46,0,45
1961_1970,10,14,0,50,0,0,2,0,51,72,0,0,31,60,0,30
1961_1970,11,65,9,0,0,16,26,7,40,39,0,12,57,1,28,0
1961_1970,12,12,45,0,0,36,74,60,0,0,0,34,18,0,31,0
1971_1980,1,1,68,0,0,40,45,27,0,0,0,48,8,0,73,0
1971_1980,2,4,89,0,0,22,28,29,0,0,0,59,3,0,49,0
1971_1980,3,29,67,0,0,29,23,34,1,11,0,36,19,0,61,0
1971_1980,4,137,7,0,0,4,9,14,17,25,0,1,76,3,7,0
1971_1980,5,22,0,19,0,0,0,0,124,6,0,0,23,48,0,68
1971_1980,6,0,0,61,62,0,0,0,5,0,35,0,0,33,0,104
1971_1980,7,0,0,0,151,0,0,0,0,0,153,0,0,1,0,5
1971_1980,8,0,0,15,147,0,0,0,0,0,143,0,0,0,0,5
1971_1980,9,0,0,136,36,0,0,0,9,0,4,0,1,71,0,43
1971_1980,10,22,0,23,0,1,0,0,61,69,0,0,40,69,0,25
1971_1980,11,43,8,0,0,33,45,29,7,76,0,0,34,0,25,0
1971_1980,12,13,49,0,0,80,51,40,0,0,0,22,6,0,49,0
1981_1990,1,2,36,0,0,68,68,33,0,0,0,47,1,0,55,0
1981_1990,2,7,65,0,0,37,28,46,0,0,0,37,0,0,62,0
1981_1990,3,36,59,0,0,33,29,26,0,11,0,36,5,0,75,0
1981_1990,4,99,4,0,0,4,1,1,54,46,0,5,73,0,13,0
1981_1990,5,17,0,32,0,0,0,0,98,6,0,0,7,60,0,90
1981_1990,6,0,0,45,100,0,0,0,0,0,41,0,0,36,0,78
1981_1990,7,0,0,2,126,0,0,0,0,0,181,0,0,0,0,1
1981_1990,8,0,0,9,177,0,0,0,0,0,122,0,0,0,0,2
1981_1990,9,0,0,135,72,0,0,0,4,0,11,0,0,62,0,16
1981_1990,10,4,0,64,0,0,0,2,52,107,0,0,14,43,0,24
1981_1990,11,31,21,0,0,15,17,37,12,71,0,9,55,0,32,0
1981_1990,12,12,39,0,0,67,47,33,2,4,0,34,13,0,59,0
1991_2000,1,1,54,0,0,55,48,52,0,0,0,16,7,0,77,0
1991_2000,2,1,42,0,0,69,45,34,0,0,0,34,3,0,55,0
1991_2000,3,25,58,0,0,55,60,43,0,10,0,11,18,0,30,0
1991_2000,4,94,10,0,0,4,6,16,64,37,0,5,43,4,13,4
1991_2000,5,12,0,31,0,0,0,0,69,14,3,0,19,91,0,71
1991_2000,6,0,0,85,107,0,0,0,0,0,45,0,0,23,0,40
1991_2000,7,0,0,1,122,0,0,0,0,0,187,0,0,0,0,0
1991_2000,8,0,0,9,137,0,0,0,0,0,164,0,0,0,0,0
1991_2000,9,0,0,88,58,0,0,0,0,0,37,0,0,50,0,67
1991_2000,10,24,0,63,0,0,0,1,46,57,0,0,30,68,0,21
1991_2000,11,64,34,0,0,26,9,10,29,72,0,0,35,4,17,0
1991_2000,12,14,47,0,0,46,49,27,0,12,0,31,17,0,67,0
2001_2010,1,6,63,0,0,55,20,53,0,0,0,27,3,0,83,0
2001_2010,2,7,50,0,0,32,35,69,0,0,0,48,4,0,37,0
2001_2010,3,32,38,0,0,23,30,33,2,19,0,55,31,0,47,0
2001_2010,4,71,12,0,0,0,1,8,66,59,0,0,75,5,2,1
2001_2010,5,3,0,63,0,0,0,0,81,14,0,0,19,71,0,59
2001_2010,6,0,0,46,108,0,0,0,0,0,58,0,0,37,0,51
2001_2010,7,0,0,0,91,0,0,0,0,0,219,0,0,0,0,0
2001_2010,8,0,0,0,132,0,0,0,0,0,177,0,0,0,0,1
2001_2010,9,0,0,73,85,0,0,0,0,0,45,0,0,44,0,53
2001_2010,10,23,0,71,1,0,0,0,46,57,1,0,10,60,0,41
2001_2010,11,58,1,1,0,12,17,26,35,79,0,10,25,8,25,3
2001_2010,12,28,54,0,0,42,33,45,3,10,0,34,29,0,32,0
2011_2020,1,7,53,0,0,57,54,47,0,0,0,30,1,0,61,0
2011_2020,2,11,47,0,0,43,34,39,1,2,0,12,10,0,84,0
2011_2020,3,25,28,0,0,49,22,25,0,17,0,57,32,0,55,0
2011_2020,4,56,1,0,0,4,6,3,68,67,0,11,65,11,3,5
2011_2020,5,6,0,57,0,0,0,0,78,10,0,0,5,63,0,91
2011_2020,6,0,0,48,115,0,0,0,0,0,71,0,0,24,0,42
2011_2020,7,0,0,0,120,0,0,0,0,0,190,0,0,0,0,0
2011_2020,8,0,0,2,127,0,0,0,0,0,181,0,0,0,0,0
2011_2020,9,0,0,88,88,0,0,0,0,0,66,0,0,25,0,33
2011_2020,10,11,0,88,2,0,0,0,39,47,0,0,9,67,0,47
2011_2020,11,55,10,5,0,12,3,9,48,93,0,2,47,6,10,0
2011_2020,12,24,35,0,0,71,52,21,1,30,0,3,9,0,64,0
