period,month,0,1,2,3,4,5,6
1961_1970,1,0,91,1,0,117,0,101
1961_1970,2,0,71,1,0,144,0,66
1961_1970,3,0,77,17,0,134,7,75
1961_1970,4,3,32,129,0,15,91,30
1961_1970,5,146,0,38,0,0,126,0
1961_1970,6,176,0,0,123,0,1,0
1961_1970,7,3,0,0,307,0,0,0
1961_1970,8,8,0,0,302,0,0,0
1961_1970,9,222,0,0,66,0,12,0
1961_1970,10,106,6,48,0,0,150,0
1961_1970,11,2,72,101,0,26,67,32
1961_1970,12,0,88,11,0,123,0,88
1971_1980,1,0,141,0,0,82,0,87
1971_1980,2,0,87,2,0,74,0,120
1971_1980,3,0,106,25,0,75,9,95
1971_1980,4,0,31,207,0,6,23,33
1971_1980,5,112,0,53,0,0,145,0
1971_1980,6,187,0,3,109,0,1,0
1971_1980,7,8,0,0,302,0,0,0
1971_1980,8,17,0,0,293,0,0,0
1971_1980,9,251,0,0,33,0,16,0
1971_1980,10,84,1,72,0,0,143,10
1971_1980,11,0,95,67,0,48,54,36
1971_1980,12,0,136,12,0,86,0,76
1981_1990,1,0,145,1,0,98,0,66
1981_1990,2,0,110,3,0,80,0,89
1981_1990,3,0,123,31,0,69,4,83
1981_1990,4,2,31,152,0,7,74,34
1981_1990,5,164,1,39,0,0,106,0
1981_1990,6,162,0,0,137,0,1,0
1981_1990,7,5,0,0,305,0,0,0
1981_1990,8,14,0,0,296,0,0,0
1981_1990,9,225,0,0,67,0,8,0
1981_1990,10,95,5,34,0,0,176,0
1981_1990,11,2,75,79,0,40,57,47
1981_1990,12,0,133,18,0,75,2,82
1991_2000,1,0,143,1,0,64,0,102
1991_2000,2,0,120,3,0,88,0,72
1991_2000,3,0,98,29,0,75,2,106
1991_2000,4,5,27,147,0,9,74,38
1991_2000,5,174,2,41,6,0,87,0
1991_2000,6,157,0,0,141,0,2,0
1991_2000,7,4,0,0,306,0,0,0
1991_2000,8,1,0,0,309,0,0,0
1991_2000,9,197,0,0,102,0,1,0
1991_2000,10,109,2,69,0,0,129,1
1991_2000,11,3,61,97,0,6,79,54
1991_2000,12,0,130,13,0,67,8,92
2001_2010,1,0,133,4,0,83,0,90
2001_2010,2,0,83,5,0,96,0,98
2001_2010,3,0,98,34,0,88,8,82
2001_2010,4,3,8,137,0,1,125,26
2001_2010,5,170,0,38,1,0,101,0
2001_2010,6,156,0,0,144,0,0,0
2001_2010,7,0,0,0,310,0,0,0
2001_2010,8,1,0,0,309,0,0,0
2001_2010,9,166,0,1,133,0,0,0
2001_2010,10,121,1,49,1,0,138,0
2001_2010,11,4,47,103,0,25,102,19
2001_2010,12,0,88,36,0,66,5,115
2011_2020,1,0,134,4,0,81,0,91
2011_2020,2,0,139,11,0,52,1,80
2011_2020,3,0,121,41,0,64,4,80
2011_2020,4,8,17,137,0,9,108,21
2011_2020,5,177,0,29,8,0,96,0
2011_2020,6,114,0,0,184,0,2,0
2011_2020,7,0,0,0,310,0,0,0
2011_2020,8,0,0,0,310,0,0,0
2011_2020,9,131,0,0,168,0,1,0
2011_2020,10,156,1,26,1,0,126,0
2011_2020,11,2,36,91,0,5,137,29
2011_2020,12,0,158,27,0,34,7,84
