period,month,0,1,2,3,4,5,6,7,8,9
1961_1970,1,0,76,58,42,0,0,1,0,77,56
1961_1970,2,0,44,53,45,0,0,0,0,107,33
1961_1970,3,0,59,56,56,0,5,16,0,79,39
1961_1970,4,16,27,19,18,0,64,119,0,16,21
1961_1970,5,132,0,2,0,21,111,44,0,0,0
1961_1970,6,88,0,0,0,130,3,0,79,0,0
1961_1970,7,0,0,0,0,43,0,0,267,0,0
1961_1970,8,0,0,0,0,68,0,0,242,0,0
1961_1970,9,56,0,0,0,181,17,0,46,0,0
1961_1970,10,96,0,1,10,30,138,35,0,0,0
1961_1970,11,18,23,18,45,0,35,104,0,22,35
1961_1970,12,0,65,69,80,0,0,7,0,49,40
1971_1980,1,0,73,22,55,0,0,0,0,69,91
1971_1980,2,0,94,26,39,0,0,1,0,66,57
1971_1980,3,0,73,35,37,0,6,30,0,54,75
1971_1980,4,7,24,52,17,0,10,173,0,3,14
1971_1980,5,151,0,0,0,18,84,57,0,0,0
1971_1980,6,67,0,0,0,141,2,4,86,0,0
1971_1980,7,0,0,0,0,24,0,0,286,0,0
1971_1980,8,1,0,0,0,46,0,0,263,0,0
1971_1980,9,69,0,0,0,194,19,1,17,0,0
1971_1980,10,86,5,7,4,10,139,59,0,0,0
1971_1980,11,5,33,34,70,0,52,47,0,9,50
1971_1980,12,0,65,38,93,0,0,9,0,30,75
1981_1990,1,0,55,29,97,0,0,1,0,56,72
1981_1990,2,0,75,47,39,0,0,2,0,45,74
1981_1990,3,0,69,24,43,0,4,26,0,59,85
1981_1990,4,13,36,16,3,0,37,163,0,12,20
1981_1990,5,178,0,0,0,19,64,49,0,0,0
1981_1990,6,62,0,0,0,119,0,0,119,0,0
1981_1990,7,0,0,0,0,13,0,0,297,0,0
1981_1990,8,0,0,0,0,54,0,0,256,0,0
1981_1990,9,22,0,0,0,232,8,0,38,0,0
1981_1990,10,57,0,3,0,31,185,33,0,0,1
1981_1990,11,6,43,52,28,0,52,51,0,13,55
1981_1990,12,0,65,37,65,0,2,8,0,52,81
1991_2000,1,0,74,53,60,0,0,1,0,22,100
1991_2000,2,0,58,25,80,0,0,0,0,42,78
1991_2000,3,0,90,45,89,0,0,24,0,20,42
1991_2000,4,18,35,20,17,0,56,129,0,8,17
1991_2000,5,156,0,0,0,40,66,43,5,0,0
1991_2000,6,35,0,0,0,146,2,0,117,0,0
1991_2000,7,0,0,0,0,18,0,0,292,0,0
1991_2000,8,0,0,0,0,26,0,0,284,0,0
1991_2000,9,69,0,0,0,158,2,0,71,0,0
1991_2000,10,67,1,4,0,46,131,60,0,0,1
1991_2000,11,9,58,24,20,0,56,92,0,0,41
1991_2000,12,0,73,35,64,0,6,6,0,44,82
2001_2010,1,0,77,51,41,0,0,3,0,37,101
2001_2010,2,0,62,69,39,0,0,2,0,64,46
2001_2010,3,0,71,45,29,0,4,27,0,72,62
2001_2010,4,24,24,18,3,0,94,129,0,0,8
2001_2010,5,140,0,0,0,60,75,35,0,0,0
2001_2010,6,45,0,0,0,139,0,0,116,0,0
2001_2010,7,0,0,0,0,5,0,0,305,0,0
2001_2010,8,0,0,0,0,24,0,0,286,0,0
2001_2010,9,46,0,0,0,146,1,1,106,0,0
2001_2010,10,84,0,2,0,41,138,44,1,0,0
2001_2010,11,10,10,38,30,0,78,83,0,13,38
2001_2010,12,0,91,53,47,0,1,29,0,40,49
2011_2020,1,0,71,42,73,0,0,3,0,44,77
2011_2020,2,0,65,44,44,0,0,8,0,22,100
2011_2020,3,0,76,38,39,0,1,22,0,59,75
2011_2020,4,36,21,11,9,0,73,125,0,14,11
2011_2020,5,126,0,0,0,52,92,36,4,0,0
2011_2020,6,30,0,0,0,121,1,0,148,0,0
2011_2020,7,0,0,0,0,3,0,0,307,0,0
2011_2020,8,0,0,0,0,11,0,0,299,0,0
2011_2020,9,20,0,0,0,153,2,0,125,0,0
2011_2020,10,71,0,2,0,80,136,21,0,0,0
2011_2020,11,10,27,13,14,0,121,90,0,2,23
2011_2020,12,0,66,28,75,0,2,22,0,12,105
