year,month,0,1,2,3,4,5,6,7,8,9
1961,1,0,11,1,3,0,0,0,0,6,10
1961,2,0,15,0,7,0,0,0,0,0,6
1961,3,0,12,4,15,0,0,0,0,0,0
1961,4,1,0,0,2,0,14,5,0,5,3
1961,5,20,0,0,0,2,9,0,0,0,0
1961,6,3,0,0,0,26,0,0,1,0,0
1961,7,0,0,0,0,1,0,0,30,0,0
1961,8,0,0,0,0,11,0,0,20,0,0
1961,9,2,0,0,0,20,3,0,5,0,0
1961,10,12,0,0,0,0,14,5,0,0,0
1961,11,2,3,3,3,0,6,10,0,0,3
1961,12,0,5,6,2,0,0,0,0,10,8
1962,1,0,4,2,6,0,0,1,0,1,17
1962,2,0,3,8,17,0,0,0,0,0,0
1962,3,0,0,6,0,0,0,0,0,23,2
1962,4,7,1,3,1,0,5,7,0,0,6
1962,5,10,0,2,0,4,11,4,0,0,0
1962,6,10,0,0,0,15,3,0,2,0,0
1962,7,0,0,0,0,0,0,0,31,0,0
1962,8,0,0,0,0,17,0,0,14,0,0
1962,9,6,0,0,0,20,4,0,0,0,0
1962,10,16,0,0,0,5,4,6,0,0,0
1962,11,5,0,2,0,0,5,18,0,0,0
1962,12,0,9,3,13,0,0,0,0,6,0
1963,1,0,0,15,1,0,0,0,0,15,0
1963,2,0,3,3,0,0,0,0,0,22,0
1963,3,0,10,4,1,0,0,0,0,10,6
1963,4,3,2,6,0,0,10,4,0,2,3
1963,5,8,0,0,0,3,16,4,0,0,0
1963,6,12,0,0,0,14,0,0,4,0,0
1963,7,0,0,0,0,5,0,0,26,0,0
1963,8,0,0,0,0,6,0,0,25,0,0
1963,9,1,0,0,0,23,0,0,6,0,0
1963,10,3,0,0,0,10,18,0,0,0,0
1963,11,0,4,0,3,0,0,11,0,0,12
1963,12,0,9,12,1,0,0,1,0,6,2
1964,1,0,16,10,4,0,0,0,0,0,1
1964,2,0,7,7,5,0,0,0,0,10,0
1964,3,0,12,9,0,0,0,4,0,5,1
1964,4,0,4,0,0,0,6,16,0,0,4
1964,5,15,0,0,0,2,14,0,0,0,0
1964,6,5,0,0,0,16,0,0,9,0,0
1964,7,0,0,0,0,9,0,0,22,0,0
1964,8,0,0,0,0,13,0,0,18,0,0
1964,9,3,0,0,0,20,1,0,6,0,0
1964,10,19,0,0,0,4,5,3,0,0,0
1964,11,4,2,3,9,0,4,3,0,2,3
1964,12,0,1,7,6,0,0,2,0,4,11
1965,1,0,2,6,5,0,0,0,0,7,11
1965,2,0,0,22,2,0,0,0,0,4,0
1965,3,0,7,4,1,0,0,0,0,14,5
1965,4,1,4,3,1,0,0,18,0,0,3
1965,5,14,0,0,0,0,10,7,0,0,0
1965,6,12,0,0,0,15,0,0,3,0,0
1965,7,0,0,0,0,11,0,0,20,0,0
1965,8,0,0,0,0,6,0,0,25,0,0
1965,9,5,0,0,0,18,2,0,5,0,0
1965,10,19,0,0,1,0,11,0,0,0,0
1965,11,1,0,2,2,0,3,5,0,16,1
1965,12,0,3,0,12,0,0,0,0,9,7
1966,1,0,8,5,1,0,0,0,0,12,5
1966,2,0,0,0,0,0,0,0,0,20,8
1966,3,0,7,5,14,0,0,1,0,2,2
1966,4,0,2,0,1,0,9,15,0,3,0
1966,5,5,0,0,0,2,20,4,0,0,0
1966,6,4,0,0,0,5,0,0,21,0,0
1966,7,0,0,0,0,0,0,0,31,0,0
1966,8,0,0,0,0,1,0,0,30,0,0
1966,9,9,0,0,0,20,1,0,0,0,0
1966,10,8,0,0,0,0,16,7,0,0,0
1966,11,0,0,1,4,0,3,22,0,0,0
1966,12,0,3,0,18,0,0,2,0,3,5
1967,1,0,5,13,2,0,0,0,0,9,2
1967,2,0,9,4,3,0,0,0,0,0,12
1967,3,0,0,0,14,0,0,2,0,0,15
1967,4,3,3,3,6,0,0,15,0,0,0
1967,5,16,0,0,0,0,8,7,0,0,0
1967,6,11,0,0,0,16,0,0,3,0,0
1967,7,0,0,0,0,2,0,0,29,0,0
1967,8,0,0,0,0,1,0,0,30,0,0
1967,9,9,0,0,0,11,0,0,10,0,0
1967,10,0,0,0,0,1,26,4,0,0,0
1967,11,0,6,3,4,0,4,12,0,0,1
1967,12,0,2,10,16,0,0,0,0,3,0
1968,1,0,3,3,17,0,0,0,0,6,2
1968,2,0,2,4,4,0,0,0,0,18,1
1968,3,0,3,9,7,0,5,1,0,0,6
1968,4,1,1,0,1,0,10,16,0,1,0
1968,5,14,0,0,0,0,4,13,0,0,0
1968,6,12,0,0,0,16,0,0,2,0,0
1968,7,0,0,0,0,4,0,0,27,0,0
1968,8,0,0,0,0,9,0,0,22,0,0
1968,9,9,0,0,0,9,2,0,10,0,0
1968,10,6,0,1,0,3,17,4,0,0,0
1968,11,4,4,1,0,0,9,9,0,0,3
1968,12,0,13,7,2,0,0,0,0,4,5
1969,1,0,16,3,3,0,0,0,0,5,4
1969,2,0,5,2,2,0,0,0,0,19,0
1969,3,0,8,8,0,0,0,1,0,14,0
1969,4,0,9,2,6,0,4,7,0,2,0
1969,5,16,0,0,0,2,11,2,0,0,0
1969,6,11,0,0,0,5,0,0,14,0,0
1969,7,0,0,0,0,5,0,0,26,0,0
1969,8,0,0,0,0,0,0,0,31,0,0
1969,9,5,0,0,0,18,3,0,4,0,0
1969,10,5,0,0,3,1,21,1,0,0,0
1969,11,0,0,1,10,0,0,11,0,3,5
1969,12,0,11,12,3,0,0,2,0,1,2
1970,1,0,11,0,0,0,0,0,0,16,4
1970,2,0,0,3,5,0,0,0,0,14,6
1970,3,0,0,7,4,0,0,7,0,11,2
1970,4,0,1,2,0,0,6,16,0,3,2
1970,5,14,0,0,0,6,8,3,0,0,0
1970,6,8,0,0,0,2,0,0,20,0,0
1970,7,0,0,0,0,6,0,0,25,0,0
1970,8,0,0,0,0,4,0,0,27,0,0
1970,9,7,0,0,0,22,1,0,0,0,0
1970,10,8,0,0,6,6,6,5,0,0,0
1970,11,2,4,2,10,0,1,3,0,1,7
1970,12,0,9,12,7,0,0,0,0,3,0
1971,1,0,6,0,0,0,0,0,0,12,13
1971,2,0,5,10,5,0,0,0,0,2,6
1971,3,0,3,10,4,0,0,4,0,9,1
1971,4,0,1,6,1,0,0,21,0,0,1
1971,5,17,0,0,0,0,10,4,0,0,0
1971,6,13,0,0,0,15,0,0,2,0,0
1971,7,0,0,0,0,4,0,0,27,0,0
1971,8,0,0,0,0,6,0,0,25,0,0
1971,9,11,0,0,0,16,1,0,2,0,0
1971,10,7,0,0,0,0,22,2,0,0,0
1971,11,0,0,5,12,0,3,6,0,0,4
1971,12,0,10,6,8,0,0,2,0,0,5
1972,1,0,21,2,3,0,0,0,0,0,5
1972,2,0,16,0,0,0,0,1,0,2,10
1972,3,0,11,4,6,0,0,2,0,4,4
1972,4,0,0,3,3,0,1,18,0,0,5
1972,5,10,0,0,0,4,9,8,0,0,0
1972,6,3,0,0,0,19,0,0,8,0,0
1972,7,0,0,0,0,0,0,0,31,0,0
1972,8,0,0,0,0,0,0,0,31,0,0
1972,9,16,0,0,0,8,1,0,5,0,0
1972,10,17,0,2,2,0,7,3,0,0,0
1972,11,0,1,2,10,0,7,4,0,0,6
1972,12,0,15,0,0,0,0,0,0,0,16
1973,1,0,16,3,6,0,0,0,0,0,6
1973,2,0,4,2,19,0,0,0,0,3,0
1973,3,0,6,12,3,0,4,1,0,0,5
1973,4,0,0,7,6,0,0,17,0,0,0
1973,5,13,0,0,0,4,12,2,0,0,0
1973,6,0,0,0,0,19,0,0,11,0,0
1973,7,0,0,0,0,0,0,0,31,0,0
1973,8,0,0,0,0,6,0,0,25,0,0
1973,9,8,0,0,0,22,0,0,0,0,0
1973,10,8,2,1,0,0,5,15,0,0,0
1973,11,0,4,6,17,0,0,3,0,0,0
1973,12,0,0,3,17,0,0,2,0,4,5
