year,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1961,1,0,9,0,0,4,5,0,0,0,0,3,0,0,10,0
1961,2,0,5,0,0,16,3,0,0,0,0,0,0,0,4,0
1961,3,1,0,0,0,19,8,3,0,0,0,0,0,0,0,0
1961,4,1,0,0,0,0,2,0,5,15,0,3,3,0,1,0
1961,5,0,0,0,0,0,0,0,5,4,0,0,0,18,0,4
1961,6,0,0,11,11,0,0,0,0,0,1,0,0,0,0,7
1961,7,0,0,0,20,0,0,0,0,0,11,0,0,0,0,0
1961,8,0,0,4,22,0,0,0,0,0,5,0,0,0,0,0
1961,9,0,0,16,6,0,0,0,0,0,2,0,0,2,0,4
1961,10,0,0,5,0,0,0,0,11,2,0,0,0,4,0,9
1961,11,9,0,0,0,2,0,2,3,5,0,0,6,0,3,0
1961,12,0,3,0,0,3,3,4,0,0,0,9,3,0,6,0
1962,1,1,2,0,0,7,1,2,0,0,0,2,0,0,16,0
1962,2,0,4,0,0,3,13,8,0,0,0,0,0,0,0,0
1962,3,3,0,0,0,0,3,6,0,0,0,17,0,0,2,0
1962,4,6,0,0,0,0,1,0,7,0,0,0,8,1,6,1
1962,5,0,0,2,0,0,0,0,9,3,0,0,4,11,0,2
1962,6,0,0,10,8,0,0,0,0,0,0,0,0,8,0,4
1962,7,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0
1962,8,0,0,0,29,0,0,0,0,0,2,0,0,0,0,0
1962,9,0,0,10,11,0,0,0,0,0,0,0,0,4,0,5
1962,10,2,0,8,0,0,0,0,1,5,0,0,4,8,0,3
1962,11,13,0,0,0,0,0,1,9,1,0,0,6,0,0,0
1962,12,0,3,0,0,2,13,4,0,0,0,5,4,0,0,0
1963,1,0,0,0,0,0,0,15,0,0,0,16,0,0,0,0
1963,2,0,3,0,0,0,0,4,0,0,0,21,0,0,0,0
1963,3,1,9,0,0,1,1,4,0,0,0,10,0,0,5,0
1963,4,1,2,0,0,0,0,3,10,5,0,2,4,2,1,0
1963,5,2,0,6,0,0,0,0,13,1,0,0,0,1,0,8
1963,6,0,0,8,6,0,0,0,0,0,3,0,0,2,0,11
1963,7,0,0,1,12,0,0,0,0,0,18,0,0,0,0,0
1963,8,0,0,0,22,0,0,0,0,0,9,0,0,0,0,0
1963,9,0,0,16,6,0,0,0,0,0,3,0,0,3,0,2
1963,10,0,0,9,0,0,0,0,0,11,0,0,6,5,0,0
1963,11,0,3,0,0,0,3,0,7,6,0,0,1,0,10,0
1963,12,0,6,0,0,5,0,8,0,0,0,7,4,0,1,0
1964,1,0,12,0,0,3,2,11,0,0,0,0,2,0,1,0
1964,2,0,6,0,0,2,3,7,0,0,0,11,0,0,0,0
1964,3,1,10,0,0,0,0,6,0,2,0,6,5,0,1,0
1964,4,9,2,0,0,0,0,0,7,6,0,0,3,0,3,0
1964,5,0,0,5,0,0,0,0,0,10,0,0,0,6,0,10
1964,6,0,0,10,10,0,0,0,2,0,5,0,0,1,0,2
1964,7,0,0,0,19,0,0,0,0,0,12,0,0,0,0,0
1964,8,0,0,3,18,0,0,0,0,0,10,0,0,0,0,0
1964,9,0,0,17,5,0,0,0,0,0,3,0,0,3,0,2
1964,10,3,0,3,0,0,0,0,8,0,0,0,0,11,0,6
1964,11,5,0,0,0,9,2,0,1,4,0,0,6,1,2,0
1964,12,7,2,0,0,3,5,5,0,0,0,1,0,0,8,0
1965,1,0,3,0,0,1,5,7,0,0,0,4,0,0,11,0
1965,2,0,0,0,0,0,2,22,0,0,0,4,0,0,0,0
1965,3,2,4,0,0,2,0,2,0,1,0,12,3,0,5,0
1965,4,14,0,0,0,2,0,0,0,5,0,0,6,0,3,0
