year,month,0,1,2,3,4,5,6
1961,1,0,14,0,0,5,0,12
1961,2,0,12,0,0,0,0,16
1961,3,0,8,1,0,10,0,12
1961,4,0,6,7,0,3,14,0
1961,5,23,0,0,0,0,8,0
1961,6,20,0,0,10,0,0,0
1961,7,0,0,0,31,0,0,0
1961,8,2,0,0,29,0,0,0
1961,9,20,0,0,7,0,3,0
1961,10,10,0,2,0,0,19,0
1961,11,0,6,13,0,1,6,4
1961,12,0,13,0,0,10,0,8
1962,1,0,21,1,0,3,0,6
1962,2,0,9,0,0,12,0,7
1962,3,0,4,0,0,27,0,0
1962,4,1,7,11,0,0,10,1
1962,5,14,0,5,0,0,12,0
1962,6,17,0,0,12,0,1,0
1962,7,0,0,0,31,0,0,0
1962,8,0,0,0,31,0,0,0
1962,9,25,0,0,2,0,3,0
1962,10,19,1,6,0,0,5,0
1962,11,0,0,16,0,2,12,0
1962,12,0,2,0,0,17,0,12
1963,1,0,0,0,0,26,0,5
1963,2,0,2,0,0,23,0,3
1963,3,0,9,0,0,11,0,11
1963,4,2,2,8,0,0,15,3
1963,5,13,0,3,0,0,15,0
1963,6,23,0,0,7,0,0,0
1963,7,0,0,0,31,0,0,0
1963,8,0,0,0,31,0,0,0
1963,9,22,0,0,8,0,0,0
1963,10,11,0,1,0,0,19,0
1963,11,0,15,6,0,0,5,4
1963,12,0,4,3,0,12,0,12
1964,1,0,3,0,0,8,0,20
1964,2,0,4,0,0,15,0,10
1964,3,0,3,2,0,5,2,19
1964,4,0,3,12,0,0,12,3
1964,5,17,0,0,0,0,14,0
1964,6,14,0,0,16,0,0,0
1964,7,1,0,0,30,0,0,0
1964,8,2,0,0,29,0,0,0
1964,9,22,0,0,8,0,0,0
1964,10,20,0,3,0,0,8,0
1964,11,2,9,5,0,3,5,6
1964,12,0,14,2,0,12,0,3
1965,1,0,16,0,0,9,0,6
1965,2,0,0,0,0,20,0,8
1965,3,0,8,0,0,14,0,9
1965,4,0,5,20,0,0,0,5
1965,5,13,0,9,0,0,9,0
1965,6,23,0,0,7,0,0,0
1965,7,2,0,0,29,0,0,0
1965,8,0,0,0,31,0,0,0
1965,9,19,0,0,9,0,2,0
