period,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1961_1970,1,14,0,22,0,0,0,22,0,16,24,0,0,21,20,0,0,0,11,0,0,10,0,6,10,0,0,0,0,16,0,19,0,0,32,36,0,0,0,14,5,0,0,0,12
1961_1970,2,19,0,11,0,0,0,27,0,11,20,0,0,19,14,0,0,0,15,0,0,11,0,6,6,0,0,0,1,37,0,9,0,3,33,17,2,0,1,8,8,0,0,0,4
1961_1970,3,4,0,7,0,4,1,23,0,16,8,0,0,21,20,0,10,0,1,0,0,15,0,7,13,0,0,0,5,27,0,15,0,11,23,24,2,0,10,25,11,0,4,0,3
1961_1970,4,2,0,0,0,30,12,3,0,4,2,0,2,0,4,0,22,13,0,0,0,4,0,18,0,12,0,0,36,4,11,1,0,25,0,1,4,9,7,7,27,2,33,3,2
1961_1970,5,0,19,0,0,2,0,0,3,0,0,0,49,0,0,18,11,39,0,21,0,0,0,0,0,41,0,0,5,0,22,0,0,2,0,0,0,15,0,0,0,16,7,40,0
1961_1970,6,0,5,0,10,0,0,0,27,0,0,6,25,0,0,89,0,1,0,14,12,0,5,0,0,1,48,20,0,0,0,0,21,0,0,0,0,1,0,0,0,10,0,5,0
1961_1970,7,0,0,0,79,0,0,0,5,0,0,28,0,0,0,0,0,0,0,0,41,0,22,0,0,0,20,36,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
1961_1970,8,0,0,0,80,0,0,0,9,0,0,48,0,0,0,0,0,0,0,0,30,0,31,0,0,0,49,18,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
1961_1970,9,0,43,0,8,0,0,0,39,0,0,8,9,0,0,21,0,2,0,29,7,0,9,0,0,3,42,16,0,0,0,0,8,0,0,0,0,4,0,0,0,52,0,0,0
1961_1970,10,0,21,0,0,7,16,0,2,0,0,0,11,0,0,10,9,19,0,38,0,0,0,0,0,41,0,0,0,0,19,0,0,0,0,0,5,45,7,0,2,42,4,12,0
1961_1970,11,0,0,2,0,27,26,6,0,9,0,0,2,0,12,0,14,9,2,0,0,3,0,10,13,0,0,0,24,6,24,2,0,20,2,1,21,2,9,4,30,0,16,0,4
1961_1970,12,13,0,5,0,0,5,22,0,19,25,0,0,15,23,0,0,0,11,0,0,29,0,21,9,0,0,0,5,20,0,10,0,4,8,10,4,0,8,32,2,0,1,0,9
1971_1980,1,10,0,52,0,0,0,12,0,11,25,0,0,11,11,0,0,0,20,0,0,2,0,15,12,0,0,0,5,28,0,19,0,0,15,29,0,0,4,16,0,0,0,0,13
1971_1980,2,15,0,29,0,1,0,8,0,8,21,0,0,1,13,0,0,0,13,0,0,4,0,21,5,0,0,0,3,15,0,14,0,2,34,26,0,0,0,10,3,0,0,0,37
1971_1980,3,8,0,18,0,6,0,20,0,8,29,0,0,8,14,0,6,0,17,0,0,6,0,25,6,0,0,0,20,23,4,10,0,17,1,9,1,1,5,4,20,0,3,0,21
1971_1980,4,0,0,0,0,39,14,2,0,2,1,0,0,0,4,0,14,4,0,0,0,7,0,17,2,0,0,0,60,0,9,1,0,59,0,3,22,0,2,1,21,0,11,5,0
1971_1980,5,0,5,0,0,5,1,0,8,0,0,0,39,0,0,16,0,83,0,11,0,0,0,0,0,15,0,0,13,0,16,0,0,4,0,0,0,28,0,0,1,11,18,36,0
1971_1980,6,0,9,0,12,0,0,0,70,0,0,6,18,0,0,73,0,0,0,12,17,0,8,0,0,1,18,26,0,0,0,0,11,0,0,0,0,6,0,0,0,8,0,5,0
1971_1980,7,0,0,0,66,0,0,0,4,0,0,39,0,0,0,4,0,0,0,0,49,0,57,0,0,0,17,36,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
